index,module,topic,color,feed,term,created,country,ratio,counter,pages,language,ipcc,continent
'16d586559f',extremes,Flood,#030ba1,wmo,Flashflood Delaware NY,2024-03-11T02:38:00+00:00,United States,0.7427885210298637,0.0,2.0,en,CNA,North-America
'd46c388af4',extremes,Tropical Cyclone,#4f4f4f,aidr,Tropical Cyclone Debbie Queensland 2017,2024-03-02T02:39:00+00:00,Australia,0.7427677821746618,0.0,2.0,en,EAU,Oceania
'd88a5ad34f',extremes,Flood,#030ba1,wmo,Flood Western Australia Eucla District,2024-03-11T02:38:00+00:00,Australia,0.742746131211566,0.0,2.0,en,CAU,Oceania
'9c9fb44f38',extremes,Flood,#030ba1,wmo,Flood Chittenden VT,2024-03-08T02:38:00+00:00,United States,0.7427294769544998,0.0,2.0,en,CNA,North-America
'5f04504a2c',extremes,Flood,#030ba1,wmo,Flooding Walton FL,2024-03-10T02:40:00+00:00,United States,0.7427130256706986,0.0,2.0,en,CNA,North-America
'339b3eac83',extremes,Snow&Ice,#d60d2b,wmo,Snow Norman Bay to Lodge Bay,2024-02-24T02:38:00+00:00,Canada,0.74271175165084,0.0,2.0,en,NEN,North-America
'f760624a54',extremes,Earthquake,#870007,usgs,Earthquake Vallenar,2024-02-14T02:37:00+00:00,Chile,0.7426451866244819,0.0,2.0,en,SWS,South-America
'07268e0d9f',extremes,Flood,#030ba1,wmo,Flashflood Glynn GA McIntosh GA Wayne GA,2024-02-18T02:38:00+00:00,United States,0.7426409019593558,0.0,2.0,en,CNA,North-America
'50f613d863',extremes,Flood,#030ba1,wmo,Flooding Surry VA,2024-03-08T02:38:00+00:00,United States,0.7426350524036297,0.0,2.0,en,CNA,North-America
'a2ced7abac',extremes,Snow&Ice,#d60d2b,wmo,Avalanche India,2024-02-01T02:41:00+00:00,India,0.7426171860110921,0.0,2.0,en,SAS,Asia
'd3c929d818',extremes,Flood,#030ba1,wmo,Flashflood Newton GA Rockdale GA,2024-03-08T07:57:00+00:00,United States,0.7425725057551521,0.0,2.0,en,CNA,North-America
'b75b56bc33',extremes,Drought,#edc291,edo,Dryness Dominica,2024-02-28T02:38:00+00:00,Dominica,0.7424944560079454,0.0,2.0,en,CAR,North-America
